type,action,child_code,role_name,parent_code
enrollment,CREATE,dstudent@brightspacedemo.com,Student,Brightspace_Elementary_2
enrollment,CREATE,dteacher@brightspacedemo.com,Teacher,Brightspace_Elementary_K
enrollment,CREATE,dteacher@brightspacedemo.com,Teacher,Brightspace_Elementary_1
enrollment,CREATE,dteacher@brightspacedemo.com,Teacher,Brightspace_Elementary_2
enrollment,CREATE,dteacher@brightspacedemo.com,Teacher,Brightspace_Elementary_3
enrollment,CREATE,dteacher@brightspacedemo.com,Teacher,Brightspace_Elementary_4
enrollment,CREATE,dteacher@brightspacedemo.com,Teacher,Brightspace_Elementary_5
enrollment,CREATE,kstudent@brightspacedemo.com,Student,Brightspace_Middle_School_7
enrollment,CREATE,cteacher@brightspacedemo.com,Student,Brightspace_Middle_School_7
enrollment,CREATE,cteacher@brightspacedemo.com,Student,Brightspace_Middle_School_8
enrollment,CREATE,pstudent@brightspacedemo.com,Teacher,Brightspace_High_School_11
enrollment,CREATE,bteacher@brightspacedemo.com,Teacher,Brightspace_High_School_9
enrollment,CREATE,bteacher@brightspacedemo.com,Teacher,Brightspace_High_School_10
enrollment,CREATE,bteacher@brightspacedemo.com,Teacher,Brightspace_High_School_11
enrollment,CREATE,bteacher@brightspacedemo.com,Teacher,Brightspace_High_School_12
enrollment,CREATE,aadmin2@brightspacedemo.com,District Admin,2021kjhgD_FY_Brightspace_District
